Ian Kinsler,,0.35,-1.28,1.21,-0.19,5.69,6,547
Eduardo Escobar,,1.88,0.17,2.06,2.92,-0.83,6,351
Evan Longoria,,3.02,-1.84,2.18,3.73,-0.83,6,522
Mark Trumbo,,5.7,-2.58,2.06,4,-3,6,614
Lourdes Gurriel Jr.,,2.64,-3.23,2.42,2.65,1.34,6,608
Andrew Suarez,SF,1.32,1.69,-0.93,2.71,0.03,5,158
Alex Wood,CIN,0.22,2.09,-0.93,3.57,0.04,5,152
Tyler Glasnow,TB,0.78,3.11,-0.93,2.71,-0.67,5,135
Kevin Gausman,ATL,-0.8,2.65,-0.93,3.57,0.32,5,170
Carlos Martinez,STL,-0.2,3.52,-0.93,4.42,-1.67,5,180
Gregory Polanco,PIT,0.74,1.87,0.12,0.21,2.07,5,356
Brian Anderson,MIA,0.74,1.74,2.3,1.97,-1.55,5,467
Ian Happ,CHC,1.5,1.26,0,0.08,2.07,5,548
Marwin Gonzalez,FA,1.5,0.45,1.33,2.24,-0.1,5,604
Peter Alonso,,3.79,0.84,0.73,1.57,-2.27,5,298
Hunter Renfroe,,5.31,-3.66,1.7,3.59,-1.55,5,608
Jonathan Schoop,,4.17,-2.19,1.94,3.46,-2.27,5,583
Adam Duvall,,4.17,-5.08,1.94,3.86,-0.1,5,621
Craig Kimbrel,FA,3.86,0.06,-0.93,-1.58,3.07,4,65
Seranthony Dominguez,PHI,2.06,-0.81,3.89,-2.44,0.92,4,65
Jon Gray,COL,-1.06,2.5,-0.93,3.57,0.05,4,146
Jon Lester,CHC,-2.8,3.77,-0.93,5.28,-1.09,4,192
Nick Markakis,FA,-0.41,3.47,2.06,2.38,-3,4,572
Alex Verdugo,LAD,-0.03,1.2,0.85,1.16,0.62,4,361
Brandon Crawford,SF,0.35,-0.24,1.21,2.24,0.62,4,601
J.T. Realmuto,MIA,1.5,0.12,1.21,1.57,-0.1,4,547
Dansby Swanson,ATL,-0.41,-0.06,0.48,0.75,2.79,4,558
Avisail Garcia,FA,2.26,-0.36,1.09,2.11,-0.83,4,540
Yadier Molina,STL,0.74,1.14,0.85,1.57,-0.1,4,217
Chris Davis,,4.93,-2.58,1.45,2.51,-2.27,4,487
Diego Castillo,TB,2.87,-0.91,0.68,-1.58,2,3,65
Alex Reyes,STL,1.11,0.87,-0.93,0.99,0.69,3,101
Caleb Smith,MIA,0.34,1.94,-0.93,0.99,0.56,3,132
Jake Arrieta,PHI,-1.87,3.31,-0.93,3.57,-0.68,3,181
Jeff Samardzija,SF,-1.76,1.89,-0.93,2.71,0.62,3,165
Zack Godley,ARI,-0.85,3.67,-0.93,3.57,-2.3,3,178
Sean Newcomb,ATL,-1.42,4.18,-0.93,4.42,-3.59,3,177
Jose Martinez,STL,-0.03,3.58,0.61,0.75,-1.55,3,510
Kolten Wong,STL,-1.17,2.45,-0.24,-0.33,2.07,3,351
Willson Contreras,CHC,0.35,2.28,0.36,0.89,-0.83,3,538
Scott Schebler,CIN,2.26,-0.67,0.61,1.16,-0.83,3,470
Carlos Gonzalez,FA,1.88,-0.96,0.85,1.97,-0.83,3,536
Logan Morrison,,3.02,-0.07,0.61,1.43,-2.27,3,506
Starlin Castro,,0.74,-1.66,1.58,2.24,-0.1,3,604
Mark Melancon,SF,1.66,-2.08,3.89,-2.44,0.56,2,65
Dellin Betances,NYY,3.15,-0.75,-0.13,-2.44,2.14,2,55
Matt Barnes,BOS,2.42,-0.75,0.68,-1.58,1.4,2,65
Ross Stripling,LAD,1.93,-0.81,-0.93,-0.72,2.13,2,82
Robbie Erlin,SD,-0.4,1.18,-0.93,1.85,0.6,2,150
Anibal Sanchez,WAS,-1.71,1.99,-0.93,2.71,0.06,2,144
Marcus Stroman,TOR,-0.93,1.89,-0.93,4.42,-2.29,2,177
Joe Panik,SF,-1.55,2.64,1.21,0.08,-0.1,2,517
Jason Heyward,CHC,-0.79,2.37,0.85,0.62,-0.83,2,380
Steven Duggar,,-2.32,-2.5,0.24,-0.33,6.41,2,623
Josh Harrison,,-0.79,0.54,0.97,0.08,1.34,2,252
Orlando Arcia,,-1.17,-0.67,-0.36,0.08,4.24,2,335
Tony Watson,SF,1.65,-2.18,3.09,-2.44,1.13,1,55
Jordan Hicks,STL,1,-1.52,5.1,-2.44,-1.11,1,65
Keone Kela,PIT,2.48,-0.7,0.28,-2.44,1.64,1,65
A.J. Minter,ATL,2.09,-0.96,1.08,-2.44,1.28,1,65
Chris Paddack,SD,1.76,-1.01,-0.93,-0.72,2.23,1,74
Trevor Richards,MIA,-0.3,0.82,-0.93,0.99,0.09,1,124
Anthony DeSclafani,CIN,-1.79,1.13,-0.93,1.85,0.56,1,128
Wei-Yin Chen,MIA,-2.1,1.69,-0.93,1.85,0.03,1,157
Asdrubal Cabrera,FA,1.12,0.4,1.09,0.89,-2.27,1,476
Teoscar Hernandez,,0.74,0.26,-0.36,-0.6,1.34,1,225
Keon Broxton,,-1.17,-4.36,-1.45,-1.82,9.31,1,469
Chad Green,NYY,1.93,-1.42,-0.13,-2.44,2.34,0,55
Joe Kelly,LAD,2.6,-1.21,-0.93,-1.58,1.28,0,65
Zach Britton,NYY,2.75,-1.77,0.68,-1.58,-0.16,0,65
Jeurys Familia,NYM,2.39,-1.21,-0.13,-2.44,0.92,0,65
Julio Urias,LAD,1.35,-0.65,-0.93,0.14,0.32,0,81
Luke Weaver,ARI,-0.87,1.13,-0.93,0.99,0.09,0,124
Vince Velasquez,PHI,-2.38,2.35,-0.93,1.85,-0.44,0,137
Jimmy Nelson,MIL,-0.82,0.57,-0.93,0.99,-0.09,0,112
Tyler Anderson,COL,-3.94,2.4,-0.93,3.57,-1.39,0,155
Francisco Cervelli,PIT,-1.93,4.38,-0.48,-0.73,-0.83,0,534
Billy McKinney,,0.74,0.83,0.36,-0.46,-1.55,0,210
Nick Ahmed,,0.35,-4.04,0.61,1.29,2.07,0,591
Adam Conley,MIA,0.19,-2.03,3.49,-2.44,0.2,-1,65
Matt Strahm,SD,1.7,-1.62,-0.13,-2.44,1.33,-1,55
Craig Stammen,SD,1.27,-1.62,0.68,-2.44,0.8,-1,65
Eric Lauer,SD,-1.58,1.28,-0.93,1.85,-1.65,-1,134
Ben Zobrist,CHC,-1.93,3.14,-0.12,-0.87,-1.55,-1,334
Steve Pearce,BOS,0.35,2.84,-0.61,-0.46,-3,-1,611
Colin Moran,PIT,-0.03,0.65,-0.24,0.48,-2.27,-1,635
Luis Urias,SD,-1.93,0.9,1.09,-0.6,-0.83,-1,457
Joey Wendle,,-1.93,-3.23,0.24,-0.06,3.52,-1,640
Ryan Tepera,TOR,-0.38,-1.62,2.69,-2.44,0.08,-2,65
Yoshihisa Hirano,ARI,-0.86,-1.92,3.49,-2.44,-0.64,-2,65
Seth Lugo,NYM,1.32,-2.08,-0.53,-2.44,1.43,-2,55
Adam Ottavino,FA,1.33,-0.75,-0.93,-2.44,0.68,-2,65
Pedro Strop,CHC,1.27,-1.42,-0.13,-2.44,0.32,-2,65
Brent Honeywell,TB,-0.12,-1.21,-0.93,-0.72,1,-2,74
Adam Wainwright,STL,-0.8,-0.35,-0.93,0.99,-0.69,-2,110
Erick Fedde,WAS,0.1,-0.96,-0.93,0.14,-0.49,-2,88
Dereck Rodriguez,SF,-3.02,1.38,-0.93,1.85,-0.85,-2,159
Zach Eflin,PHI,-4.01,1.58,-0.93,1.85,-0.21,-2,145
Tanner Roark,CIN,-3.77,1.84,-0.93,2.71,-1.38,-2,154
Brandon Woodruff,MIL,-2.51,1.23,-0.93,1.85,-1.9,-2,134
Jose Urena,MIA,-2.7,1.53,-0.93,1.85,-2.06,-2,162
Yandy Diaz,TB,-2.7,3.75,-0.24,-1,-1.55,-2,274
Garrett Hampson,COL,-3.46,3.32,-2.79,-3.3,4.24,-2,448
Dexter Fowler,STL,-1.55,2.37,-0.97,-2.22,0.62,-2,341
Austin Barnes,LAD,-1.93,1.2,-0.85,-1.41,1.34,-2,577
Danny Jansen,TOR,-0.79,2.11,-0.97,-1.28,-1.55,-2,166
Denard Span,FA,-1.93,1.66,-0.97,-2.22,1.34,-2,226
Martin Prado,,-1.17,-1.2,0.97,0.21,-0.83,-2,575
Devon Travis,,-0.79,-0.08,-0.48,-0.73,-0.1,-2,292
Jeremy Jeffress,MIL,1.65,-1.97,-0.53,-2.44,0.32,-3,55
Wilmer Font,TB,0.68,-1.72,-0.93,-2.44,1.39,-3,58
Yonny Chirinos,TB,-1.03,-0.91,-0.93,0.14,0.14,-3,100
Michael Wacha,STL,-0.7,-0.45,-0.93,0.14,-0.6,-3,100
Jalen Beeks,TB,-0.59,-0.5,-0.93,0.14,-0.7,-3,92
Dinelson Lamet,SD,0.12,-0.75,-0.93,-1.58,0.05,-3,73
Jason Vargas,NYM,-1.58,-0.45,-0.93,0.14,-0.26,-3,105
Joe Ross,WAS,-3.27,0.41,-0.93,1.85,-0.86,-3,128
Chris Stratton,SF,-1.59,0.11,-0.93,0.99,-1.77,-3,126
Touki Toussaint,ATL,-2.41,1.58,-0.93,1.85,-2.77,-3,129
Dylan Bundy,BAL,-7.23,3.92,-0.93,2.71,-1.03,-3,183
Kyle Freeland,COL,-5.46,3.31,-0.93,4.42,-4.34,-3,195
Matt Duffy,TB,-3.08,1.85,-1.33,-2.22,1.34,-3,270
Albert Almora Jr.,,-1.55,0.2,-0.12,-0.46,-1.55,-3,345
Wilmer Flores,,0.35,1.49,-1.21,-0.46,-3,-3,231
Mac Williamson,,0.74,-2.11,-0.61,0.21,-0.83,-3,394
Andrew Chafin,ARI,1.49,-1.92,-0.93,-2.44,-0.08,-4,55
Seung Hwan Oh,COL,-1.49,-1.57,1.08,-2.44,0.32,-4,65
Matt Shoemaker,TOR,-3.12,0.11,-0.93,0.14,-0.09,-4,111
Matt Andriese,ARI,-1.23,-1.06,-0.93,-0.72,-0.32,-4,87
Nick Kingham,PIT,-2.43,-0.25,-0.93,0.14,-0.67,-4,108
CC Sabathia,NYY,-2.58,-0.25,-0.93,0.99,-1.27,-4,108
Wade Miley,FA,-1.81,-0.09,-0.93,0.99,-2.6,-4,122
Zach Davies,MIL,-4.4,1.23,-0.93,2.71,-2.94,-4,161
Jhoulys Chacin,MIL,-5.75,3.01,-0.93,3.57,-3.81,-4,187
Nick Senzel,CIN,-1.93,2.24,-2.18,-2.36,0.62,-4,239
Raimel Tapia,COL,-3.08,0.15,-1.94,-2.36,2.79,-4,572
Mitch Moreland,,-0.41,1.07,-0.97,-0.73,-3,-4,350
Tucker Barnhart,,-1.55,0.22,-0.61,-0.6,-1.55,-4,520
Carlos Gomez,,-1.17,-0.71,-1.94,-1.95,2.07,-4,349
Wilson Ramos,,0.74,-0.72,-1.21,-0.19,-3,-4,462
Robinson Chirinos,,-0.03,0.8,-1.21,-1.28,-2.27,-4,154
Scott Kingery,,-1.93,0.23,-2.18,-1.95,2.07,-4,175
Brett Anderson,FA,-0.29,-1.92,-0.93,-0.72,-0.93,-5,85
Taijuan Walker,ARI,-0.91,-1.52,-0.93,-1.58,-0.08,-5,72
Mike Montgomery,CHC,0.52,-2.23,-0.93,-2.44,-0.27,-5,64
Ty Blach,SF,-0.77,-1.31,-0.93,0.14,-1.76,-5,113
Freddy Peralta,MIL,-1.11,-0.65,-0.93,-1.58,-0.87,-5,72
Dakota Hudson,STL,0.19,-1.87,-0.93,-1.58,-1.16,-5,73
Ryan Yarbrough,TB,-2.09,-0.86,-0.93,0.14,-1.15,-5,100
Shelby Miller,FA,-1.88,-0.96,-0.93,-0.72,-0.83,-5,89
Brett Kennedy,SD,-1.79,-0.7,-0.93,-0.72,-1.14,-5,99
Clay Buchholz,FA,-5.52,1.53,-0.93,2.71,-2.49,-5,170
Jaime Garcia,FA,-3.04,0.47,-0.93,1.85,-3.35,-5,133
